3 SEASONS CAMPING RESORT INC     151.925000   REHOBOTH BEA  IB    DE WNDY333
4 K SATELLITE SYSTEMS INC        806.000000   SALISBURY     YB    MD WNYW939
A B C FARM EQUIPMENT CO INC       31.040000   EASTON        IB    MD KEP283
A C ANDREW AUCTION INC           806.000000   DENTON        YB    MD WNQP351
A E PHILLIPS & SON INC           806.000000   FISHING CREE  YB    MD WNZX899
A P CROLL & SON INC              463.975000   MILLSBORO     IB    DE KEW623
A P CROLL & SON INC              466.400000   MILLSBORO     IB    DE KEW623
A P CROLL & SON INC              468.975000   MILLSBORO     IB    DE KEW623
A P CROLL & SONS INC             806.000000   GEORGETOWN    YB    DE WNMX901
AAA MID ATLANTIC INC             150.920000   VIENNA        LA    MD KFR425
ADAMS CRANE SERVICE INC          806.000000   SALISBURY     YB    MD WNNL428
ADAMS OIL COMPANY INC             43.080000   SEAFORD       IS    DE KGG422
ADKINS INC                       154.570000   SELBYVILLE    IB    DE KD46157
AERONAUTICAL RADIO INC           129.150000   SALISBURY     AF    MD KEH3
ALARM ENGINEERING INC            806.000000   SALISBURY     YB    MD WNWL397
ALARMGUARD CORP                  806.000000   SALISBURY     YB    MD WNQP342
ALBAN TRACTOR COMPANY INC        153.020000   OAK ORCHARD   IS    DE WNWK297
ALBAN TRACTOR COMPANY INC        153.020000   SALISBURY     IS    MD KGH289
ALLANBANK FARM & NURSERY         154.570000   HEBRON        IB    MD KD41254
ALLEN CHORMAN INC                806.000000   MILTON        YB    DE WNWG242
ALLEN PETROLEUM CORPORATION      451.900000   WILLIAMSBURG  IS    MD WNGA775
ALLEN PETROLEUM CORPORATION      456.900000   WILLIAMSBURG  IS    MD WNGA775
ALLENS FAMILY FOODS INC          154.570000   HARBENSON     IB    DE KD50386
ALLENS FAMILY FOODS INC          154.600000   HARBENSON     IB    DE KD50386
ALLENS HATCHERY INC              452.175000   FEDERALSBURG  IS    MD KZH502
ALLENS HATCHERY INC              457.175000   FEDERALSBURG  IS    MD KZH502
ALPHA ELECTRIC CO INC            806.000000   DELMAR        YB    MD WNED978
ALWAYS THERE HEATING & AIR INC   806.000000   SALISBURY     YB    MD WNRI774
ALWAYS THERE HEATING & AIR INC   806.000000   SALISBURY     YB    MD WNUE692
AMERICAN BEEPER ASSOCIATES LIM    35.200000   HURLOCK       CD    MD KOS212
